***	PUNCT
	SPACE
眼	NOUN
。	PUNCT
他	PRON
的	PART
口角	NOUN
上	PART
現出	VERB
微笑	NOUN
，	PUNCT
似乎	ADV
自	ADV
以	VERB
為大	VERB
有	VERB
深意	NOUN
，	PUNCT
而	ADV
將繁	ADV
霜灑	NOUN
在	ADP
我	PRON
的	PART
園裡	NOUN
的	PART
野花	NOUN
草上	NOUN
。	PUNCT


	SPACE
我	PRON
不	ADV
知道	VERB
那些	DET
花草	NOUN
真	ADV
叫	VERB
什麼	DET
名字	NOUN
，	PUNCT
人們	NOUN
叫	VERB
他們	PRON
什麼	DET
名字	NOUN
。	PUNCT
我	PRON
記	VERB
得	VERB
有	VERB
一	NUM
種	NUM
開過	VERB
極細	ADV
小	VERB
的	PART
粉	ADJ

	SPACE
紅花	NOUN
，	PUNCT
現	NOUN
在	NOUN
還	ADV
開著	VERB
，	PUNCT
但是	ADV
更	ADV
極細	ADV
小	VERB
了	PART
，	PUNCT
她	PRON
在	ADP
冷	VERB
的	PART
夜氣	NOUN
中	PART
，	PUNCT
瑟縮	VERB
地	PART
做夢	VERB
，	PUNCT
夢	NOUN
見春	VERB
的	PART
到來	NOUN
，	PUNCT

	SPACE
夢	NOUN
見秋	VERB
的	PART
到來	NOUN
，	PUNCT
夢見瘦	ADJ
的	PART
詩人	NOUN
將眼	ADV
淚擦	VERB
在	ADP
她	PRON
最	DET
末	ADJ
的	PART
花瓣	NOUN
上	PART
，	PUNCT
告訴	VERB
她	PRON
秋雖	NOUN
然來	ADV
，	PUNCT
冬	NOUN
雖然	SCONJ
來	VERB

	SPACE
，	PUNCT
而	ADV
此	DET
後接	NOUN
著還	VERB
是	VERB
春	NOUN
蝴蝶	NOUN
亂飛	VERB
，	PUNCT
蜜蜂	NOUN
都	ADV
唱	VERB
起	VERB
春詞	NOUN
來	VERB
了	PART
。	PUNCT
她	PRON
於是	ADV
一	ADV
笑	VERB
，	PUNCT
雖然	SCONJ
顏色	NOUN
凍	VERB
得	PART
紅慘	VERB

	SPACE
慘地	VERB
，	PUNCT
仍然	ADV
瑟	VERB
縮著	VERB
。	PUNCT


	SPACE
棗樹	NOUN
，	PUNCT
他	PRON
們簡	PRON
直落	ADV
盡	VERB
了	PART
葉子	NOUN
。	PUNCT
先前	ADV
，	PUNCT
還	ADV
有	VERB
一	NUM
兩	NUM
個	NUM
孩子	NOUN
來打	VERB
他	PRON
們別人	NOUN
打剩	VERB
的	PART
棗子	NOUN
，	PUNCT
現	NOUN
在	NOUN
是	VERB

	SPACE
一	NUM
個	NUM
也	ADV
不	ADV
剩	VERB
了	PART
，	PUNCT
連	ADV
葉子	NOUN
也	ADV
落盡	VERB
了	PART
。	PUNCT
他	PRON
知道	VERB
小粉	NOUN
紅花	ADJ
的	PART
夢	NOUN
，	PUNCT
秋後	NOUN
要	VERB
有	VERB
春	NOUN
；	PUNCT
他	PRON
也	ADV
知道	VERB
落葉	VERB
的	PART

	SPACE
夢	NOUN
，	PUNCT
春	NOUN
後還	NOUN
是	VERB
秋	NOUN
。	PUNCT
他	PRON
簡直	ADV
落盡	VERB
葉子	NOUN
，	PUNCT
單剩	ADV
幹子	VERB
，	PUNCT
然而	ADV
脫	VERB
了	PART
當初	NOUN
滿樹	ADV
是	VERB
果實	NOUN
和	CCONJ
葉子	NOUN
時候	NOUN
的	PART

	SPACE
弧形	NOUN
，	PUNCT
欠伸	VERB
得	PART
很	ADV
舒服	VERB
。	PUNCT
但是	ADV
，	PUNCT
有	VERB
幾枝	NOUN
還	ADV
低	ADV
椏著	VERB
，	PUNCT
護定	VERB
他	PRON
從	ADP
打棗	VERB
的	PART
竿梢	NOUN
所得	VERB
的	PART
皮傷	NOUN
，	PUNCT
而	ADV
最	ADV

	SPACE
直	VERB
最	ADV
長	VERB
的	PART
幾枝	NOUN
，	PUNCT
卻	ADV
已	ADV
默默	ADV
地	PART
鐵似	VERB
的	PART
直刺	VERB
著	PART
奇怪	VERB
而	CCONJ
高	VERB
的	PART
天空	NOUN
，	PUNCT
使	VERB
天空閃閃	VERB
地	PART
鬼夾眼	VERB
；	PUNCT
直刺	VERB

	SPACE
著天	ADV
空中	NOUN
圓滿	VERB
的	PART
月亮	NOUN
，	PUNCT
使	VERB
月亮	NOUN
窘得	VERB
發白	VERB
。	PUNCT


	SPACE
鬼夾眼	VERB
的	PART
天空	NOUN
越加	ADV
非常	ADV
之	PART
藍	VERB
，	PUNCT
不安	VERB
了	PART
，	PUNCT
彷彿	ADV
想	VERB
離	VERB
去	VERB
人間	NOUN
，	PUNCT
避開	VERB
棗樹	NOUN
，	PUNCT
只	ADV
將	X
月亮	NOUN
剩下	VERB
。	PUNCT
然	ADV

	SPACE
而	ADV
月亮	NOUN
也	ADV
暗地	ADV
躲到	VERB
東邊	NOUN
去	VERB
了	PART
。	PUNCT
而	ADV
一	ADV
無	VERB
所有	DET
的	PART
幹子	NOUN
，	PUNCT
卻	ADV
仍然	ADV
默默	ADV
地	PART
鐵似	VERB
的	PART
直刺	VERB
著	PART
奇怪	VERB
而	CCONJ
高	VERB

	SPACE
的	PART
天空	NOUN
，	PUNCT
一意	ADV
要	VERB
制	VERB
他	PRON
的	PART
死命	NOUN
，	PUNCT
不管	SCONJ
他	PRON
各式各樣	VERB
地夾	VERB
著許	ADV
多	NUM
蠱惑	VERB
的	PART
眼睛	NOUN
。	PUNCT


	SPACE
哇	INTJ
的	PART
一	NUM
聲	NUM
，	PUNCT
夜游	NOUN
的	PART
惡鳥	NOUN
飛過	VERB
了	PART
。	PUNCT


	SPACE
我	PRON
忽而	ADV
聽到	VERB
夜半	NOUN
的	PART
笑聲	NOUN
，	PUNCT
吃吃	VERB
地	PART
，	PUNCT
似乎	ADV
不	ADV
願意	VERB
驚動	VERB
睡著	VERB
的	PART
人	NOUN
，	PUNCT
然而	ADV
四圍	NOUN
的	PART
空氣	NOUN
都	ADV
應	VERB
和	ADP
著	PART

	SPACE
笑	VERB
。	PUNCT
夜半	NOUN
，	PUNCT
沒有	VERB
別	DET
的	PART
人	NOUN
，	PUNCT
我	PRON
即	ADV
刻聽	ADV
出這	VERB
聲音	NOUN
就	ADV
在	VERB
我	PRON
嘴裡	NOUN
，	PUNCT
我	PRON
也	ADV
即劇	ADV
被	X
這笑	DET
聲	NOUN
所	PART
驅逐	VERB
，	PUNCT
回	VERB

	SPACE
進	VERB
自己	PRON
的	PART
房	NOUN
。	PUNCT
燈火	NOUN
的	PART
帶子	NOUN
也	ADV
即刻	ADV
被	X
我	PRON
旋高	VERB
了	PART
。	PUNCT


	SPACE
後窗	NOUN
的	PART
玻璃	NOUN
上	PART
丁丁	PROPN
地響	NOUN
，	PUNCT
還	ADV
有	VERB
許多	NUM
小	ADJ
飛蟲	NOUN
亂撞	VERB
。	PUNCT
不	ADV
多久	ADV
，	PUNCT
幾個	ADV
進來	VERB
了	PART
，	PUNCT
許	NUM
是	VERB
從	ADP
窗紙	NOUN
的	PART
破	ADJ

	SPACE
孔進來	NOUN
的	PART
。	PUNCT
他們	PRON
一	ADV
進來	VERB
，	PUNCT
又	ADV
在	ADP
玻璃	NOUN
的	PART
燈罩	NOUN
上	PART
撞得	VERB
丁丁	PROPN
地響	NOUN
。	PUNCT
一	NUM
個	NUM
從	ADP
上面	NOUN
撞進	VERB
去	VERB
了	PART
，	PUNCT
他	PRON
於	ADV

	SPACE
是	VERB
遇到	VERB
火	NOUN
，	PUNCT
而且	ADV
我	PRON
以為	VERB
這火	PRON
是	VERB
真的	VERB
。	PUNCT
兩三	NUM
個卻	NOUN
休息	VERB
在	ADP
燈	NOUN
的	PART
紙罩	NOUN
上	PART
喘氣	VERB
。	PUNCT
那	DET
罩	NOUN
是	VERB
昨晚	NOUN
新	ADV
換	VERB

	SPACE
的	PART
罩	NOUN
，	PUNCT
雪白	VERB
的	PART
紙	NOUN
，	PUNCT
折出	VERB
波浪紋	PROPN
的	PART
疊痕	NOUN
，	PUNCT
一	NUM
角還	NOUN
畫出	VERB
一	NUM
枝	NUM
猩	ADJ
紅色	ADJ
的	PART
梔子	NOUN
。	PUNCT


	SPACE
猩紅	NOUN
的	PART
梔子	PUNCT
開花時	NOUN
，	PUNCT
棗樹	NOUN
又	ADV
要	VERB
做	VERB
小粉	NOUN
紅花	ADJ
的	PART
夢	NOUN
，	PUNCT
青蔥	VERB
地	PART
彎成	VERB
弧形	NOUN
了	PART
……	PUNCT
。	PUNCT
我	PRON
又	ADV
聽到	VERB
夜半	NOUN

	SPACE
的	PART
笑聲	NOUN
，	PUNCT
我	PRON
趕緊	ADV
砍斷	VERB
我	PRON
的	PART
心緒	NOUN
，	PUNCT
看	VERB
那	DET
老	ADV
在	ADP
白紙	NOUN
罩上	NOUN
的	PART
小	ADJ
青蟲	NOUN
，	PUNCT
頭大	VERB
尾小	NOUN
，	PUNCT
嚮日	NOUN
葵子	NOUN
似的	ADV

	SPACE
，	PUNCT
只有	ADV
半粒	NUM
小麥	NOUN
那	ADV
麼大	VERB
，	PUNCT
遍身	ADV
的	PART
顏色	NOUN
蒼翠	VERB
得	PART
可愛	VERB
，	PUNCT
可憐	VERB
。	PUNCT


	SPACE
我	PRON
打	VERB
一	NUM
個	NUM
叮欠	NOUN
，	PUNCT
點起	VERB
一	NUM
支	NUM
紙煙	NOUN
，	PUNCT
噴出	VERB
煙來	NOUN
，	PUNCT
對著	ADP
燈默	NOUN
默地	ADV
敬奠	VERB
這些	DET
蒼翠	VERB
精緻	VERB
的	PART
英雄	NOUN
們	NOUN
。	PUNCT


	SPACE
影	NOUN
的	PART
告別	NOUN


	SPACE
人	NOUN
睡	VERB
到	ADP
不	ADV
知道	VERB
時候	NOUN
的	PART
時候	NOUN
，	PUNCT
就	ADV
會	VERB
有	VERB
影來	NOUN
告別	VERB
，	PUNCT
說出	VERB
那些	DET
話─	NOUN
─	PUNCT


	SPACE
有	VERB
我	PRON
所	PART
不	ADV
樂意	VERB
的	PART
在	ADP
地	NOUN
獄裡	NOUN
，	PUNCT
我	PRON
不	ADV
願	VERB
去	VERB
；	PUNCT
有	VERB
我	PRON
所	PART
不	ADV
樂意	VERB
的	PART
在	ADP
地	NOUN
獄裡	NOUN
，	PUNCT
我	PRON
不	ADV
願	VERB
去	VERB
；	PUNCT
有	VERB
我	PRON
所	PART
不	ADV

	SPACE
樂意	VERB
的	PART
在	VERB
你	PRON
們將來	NOUN
的	PART
黃金	NOUN
世界	NOUN
裡	PART
，	PUNCT
我	PRON
不	ADV
願去	VERB
。	PUNCT


	SPACE
然而	ADV
你	PRON
就是	VERB
我	PRON
所	PART
不	ADV
樂意	VERB
的	PART
。	PUNCT


	SPACE
朋友	NOUN
，	PUNCT
我	PRON
不	ADV
想	VERB
跟	VERB
隨	VERB
你	PRON
，	PUNCT
我	PRON
不	ADV
願住	VERB
。	PUNCT


	SPACE
我	PRON
不	ADV
願意	VERB
！	PUNCT


	SPACE
嗚乎	INTJ
嗚乎	INTJ
，	PUNCT
我	PRON
不	ADV
願意	VERB
，	PUNCT
我	PRON
不如	ADV
彷徨	VERB
於無	ADP
地	NOUN
。	PUNCT


	SPACE
我	PRON
不	ADV
過	ADV
一	NUM
個影	NOUN
，	PUNCT
要	VERB
別	VERB
你	PRON
而	PART
沉沒	VERB
在	ADP
黑暗	NOUN
裡	PART
了	PART
。	PUNCT
然而	ADV
黑暗	NOUN
又	ADV
會	VERB
吞併	VERB
我	PRON
，	PUNCT
然而	ADV
光明	NOUN
又	ADV
會使	VERB
我	PRON
消	VERB

	SPACE
失	VERB
。	PUNCT


	SPACE
然而	ADV
我	PRON
不	ADV
願彷	VERB
徨於	VERB
明暗	NOUN
之	PART
間	PART
，	PUNCT
我	PRON
不如	ADV
在	ADP
黑暗裡	NOUN
沉沒	VERB
。	PUNCT


	SPACE
然而	ADV
我	PRON
終於	ADV
彷徨	VERB
於明暗	VERB
之	PART
間	PART
，	PUNCT
我	PRON
不	ADV
知道	VERB
是	VERB
黃	NOUN
昏還	NOUN
是	VERB
黎明	NOUN
。	PUNCT
我	PRON
姑且	ADV
舉	VERB
灰黑	ADJ
的	PART
手裝	NOUN
作	VERB
喝	VERB
幹	VERB
一	NUM

	SPACE
杯酒	NOUN
，	PUNCT
我	PRON
將	ADV
在	ADP
不	ADV
知道	VERB
時候	NOUN
的	PART
時候	NOUN
獨自	ADV
遠行	VERB
。	PUNCT


	SPACE
嗚乎	INTJ
嗚乎	VERB
，	PUNCT
倘若	SCONJ
黃昏	NOUN
，	PUNCT
黑夜	NOUN
自然	ADV
會來	VERB
沉沒	VERB
我	PRON
，	PUNCT
否則	ADV
我	PRON
要	VERB
被	X
白天	NOUN
消失	VERB
，	PUNCT
如果	SCONJ
現	NOUN
是	VERB
黎明	NOUN
。	PUNCT


	SPACE
朋友	NOUN
，	PUNCT
時候	NOUN
近	VERB
了	PART
。	PUNCT


	SPACE
我	PRON
將向	ADV
黑暗	NOUN
裡彷	PART
徨於	VERB
無地	VERB
。	PUNCT


	SPACE
你	PRON
還	ADV
想	VERB
我	PRON
的	PART
贈品	NOUN
。	PUNCT
我	PRON
能	VERB
獻	VERB
你	PRON
甚麼	ADV
呢	PART
？	PUNCT
無	VERB
已	NOUN
，	PUNCT
則	ADV
仍	ADV
是	VERB
黑暗	NOUN
和	CCONJ
虛空而已	VERB
。	PUNCT
但是	ADV
，	PUNCT
我	PRON
願意	VERB
只是	ADV

	SPACE
黑暗	NOUN
，	PUNCT
或者	CCONJ
會消	VERB
失於	VERB
你	PRON
的	PART
白天	NOUN
；	PUNCT
我	PRON
願意	VERB
只是	ADV
虛	VERB
，	PUNCT
決	ADV
不	ADV
占	VERB
你	PRON
的	PART
心地	NOUN
。	PUNCT


	SPACE
我	PRON
願意	VERB
這樣	PRON
，	PUNCT
朋友	NOUN
──	PUNCT


	SPACE
我	PRON
獨自	ADV
遠行	VERB
，	PUNCT
不但	ADV
沒有	VERB
你	PRON
，	PUNCT
並且	ADV
再	ADV
沒有	VERB
別	DET
的	PART
影在	VERB
黑暗裡	NOUN
。	PUNCT
只有	ADV
我	PRON
被	X
黑暗	NOUN
沉沒	VERB
，	PUNCT
那	DET
世界	NOUN
全	ADV

	SPACE
屬於	VERB
我	PRON
自己	PRON
。	PUNCT


	SPACE
求乞者	NOUN


	SPACE
我	PRON
順著	ADV
剝落	VERB
的	PART
高晲	PUNCT
姜禲	NOUN
A踏著鬆	PUNCT
的	PART
灰土	NOUN
。	PUNCT
另外	ADV
有	VERB
幾個人	NOUN
，	PUNCT
各自	ADV
走路	VERB
。	PUNCT
微風	ADV
起來	VERB
，	PUNCT
露	VERB
在	ADP

	SPACE
頭	NOUN
的	PART
高樹	VERB
的	PART
枝條帶	NOUN
著還	VERB
未	ADV
幹枯	VERB
的	PART
葉子	NOUN
在	ADP
我	PRON
頭上	NOUN
搖動	VERB
。	PUNCT


	SPACE
微風	ADV
起來	VERB
，	PUNCT
四面	NOUN
都	ADV
是	VERB
灰土	NOUN
。	PUNCT


	SPACE
一	NUM
個	NUM
孩子	NOUN
向	ADP
我	PRON
求乞	VERB
，	PUNCT
也	ADV
穿著	VERB
夾衣	NOUN
，	PUNCT
也	ADV
不	ADV
見	VERB
得	PART
悲戚	NOUN
，	PUNCT
近於	VERB
兒戲	NOUN
；	PUNCT
我	PRON
煩膩	VERB
他	PRON
這	DET
追著	VERB
哀呼	VERB
。	PUNCT


	SPACE
我	PRON
走路	VERB
。	PUNCT
另外	ADV
有	VERB
幾個人	NOUN
各自	ADV
走路	VERB
。	PUNCT
微風	VERB
起來	VERB
，	PUNCT
四面	NOUN
都	ADV
是	VERB
灰土	NOUN
。	PUNCT


	SPACE
一	NUM
個	NUM
孩子	NOUN
向	ADP
我	PRON
求乞	VERB
，	PUNCT
也	ADV
穿著	VERB
夾衣	NOUN
，	PUNCT
也	ADV
不	ADV
見	VERB
得	PART
悲戚	VERB
，	PUNCT
但是	ADV
啞	VERB
的	PART
，	PUNCT
攤	VERB
開手	VERB
，	PUNCT
裝著	VERB
手勢	NOUN
。	PUNCT


	SPACE
我	PRON
就	ADV
憎惡	VERB
他	PRON
這手	DET
勢	NOUN
。	PUNCT
而且	ADV
，	PUNCT
他	PRON
或者	ADV
並不啞	VERB
，	PUNCT
這	PRON
不	ADV
過	ADV
是	VERB
一	NUM
種	NUM
求乞	VERB
的	PART
法子	NOUN
。	PUNCT


	SPACE
我	PRON
不	ADV
佈施	VERB
，	PUNCT
我	PRON
無佈	ADV
施心	VERB
，	PUNCT
我	PRON
但	ADV
居佈	VERB
施者	NOUN
之上	PART
，	PUNCT
給與	VERB
煩膩	NOUN
，	PUNCT
疑心	NOUN
，	PUNCT
憎惡	VERB
。	PUNCT


	SPACE
我	PRON
順著	ADV
倒敗	VERB
的	PART
泥晲	NOUN
姜禲	NOUN
A斷	PUNCT
磚疊	NOUN
在	ADP
棬吨f	PUNCT
，	PUNCT
湀堶	PUNCT
惆S	PUNCT
有	VERB
什麼	PRON
。	PUNCT
微風	VERB
起來	VERB
，	PUNCT
送秋	VERB
寒穿	NOUN
透	VERB
我	PRON

	SPACE
的	PART
夾衣	NOUN
；	PUNCT
四面	NOUN
都	ADV
是	VERB
灰土	NOUN
。	PUNCT


	SPACE
我	PRON
想	VERB
著	PART
我	PRON
將用	ADV
什麼	DET
方法	NOUN
求乞	VERB
：	PUNCT
發聲	VERB
，	PUNCT
用	VERB
怎樣	ADV
聲調	VERB
？	PUNCT
裝啞	VERB
，	PUNCT
用	VERB
怎樣	ADJ
手勢	NOUN
？	PUNCT
……	PUNCT


	SPACE
另外	ADV
有	VERB
幾個人	NOUN
各自	ADV
走路	VERB
。	PUNCT


	SPACE
我	PRON
將	ADV
得	VERB
不	ADV
到	VERB
佈施	NOUN
，	PUNCT
得	VERB
不	ADV
到	VERB
佈	VERB
施心	NOUN
；	PUNCT
我	PRON
將	ADV
得到	VERB
自居	VERB
於	ADP
佈施	NOUN
之上者	NOUN
的	PART
煩膩	NOUN
，	PUNCT
疑心	NOUN
，	PUNCT
憎惡	NOUN
。	PUNCT


	SPACE
我	PRON
將用	ADV
無所為	VERB
和	CCONJ
沉默	ADV
求乞	VERB
！	PUNCT
……	PUNCT


	SPACE
我	PRON
至少	ADV
將	ADV
得到	VERB
虛無	NOUN
。	PUNCT


	SPACE
微風	ADV
起來	VERB
，	PUNCT
四面	NOUN
都	ADV
是	VERB
灰土	NOUN
。	PUNCT
另外	ADV
有	VERB
幾個人	NOUN
各自	ADV
走路	VERB
。	PUNCT


	SPACE
灰土	NOUN
，	PUNCT
灰土	NOUN
，	PUNCT
……	PUNCT


	SPACE
……	PUNCT


	SPACE
灰土	NOUN
……	PUNCT


	SPACE
我	PRON
的	PART
失戀	NOUN


	SPACE
——	PUNCT
擬古	ADJ
的	PART
新	ADJ
打	VERB
油詩	NOUN
——	PUNCT


	SPACE
我	PRON
的	PART
所愛	NOUN
在	VERB
山腰	NOUN
；	PUNCT


	SPACE
想	VERB
去	VERB
尋	VERB
她	PRON
山	NOUN
太	ADV
高	VERB
，	PUNCT


	SPACE
低頭	NOUN
無法	ADV
淚	NOUN
沾袍	VERB
。	PUNCT


	SPACE
愛人	NOUN
贈	VERB
我	PRON
百蝶巾	NOUN
；	PUNCT


	SPACE
回	VERB
她	PRON
什麼	PRON
：	PUNCT
貓頭鷹	NOUN
。	PUNCT


	SPACE
從此	ADV
翻臉	VERB
不理	VERB
我	PRON
，	PUNCT


	SPACE
不	ADV
知何	VERB
故兮	NOUN
使	VERB
我	PRON
心驚	VERB
。	PUNCT


	SPACE
我	PRON
的	PART
所愛	NOUN
在	VERB
鬧市	NOUN
；	PUNCT


	SPACE
想	VERB
去	VERB
尋	VERB
她	PRON
人	NOUN
擁擠	VERB
，	PUNCT


	SPACE
仰頭	VERB
無法	ADV
淚沾	NOUN
耳	PART
。	PUNCT


	SPACE
愛人	NOUN
贈	VERB
我	PRON
雙	NUM
燕圖	NOUN
；	PUNCT


	SPACE
回	VERB
她	PRON
什麼	PRON
：	PUNCT
冰糖	NOUN
壺廬	NOUN
。	PUNCT


	SPACE
從此	ADV
翻臉	VERB
不理	VERB
我	PRON
，	PUNCT


	SPACE
不	ADV
知何	VERB
故兮	NOUN
使	VERB
我	PRON
胡塗	VERB
。	PUNCT


	SPACE
我	PRON
的	PART
所	PART
愛	NOUN
在	VERB
河濱	NOUN
；	PUNCT


	SPACE
想	VERB
去	VERB
尋	VERB
她	PRON
河水	NOUN
深	VERB
，	PUNCT


	SPACE
歪頭	VERB
無法	ADV
淚	NOUN
沾襟	VERB
。	PUNCT


	SPACE
愛人	NOUN
贈	VERB
我	PRON
金	NOUN
錶索	NOUN
；	PUNCT


	SPACE
回	VERB
她	PRON
什麼	PRON
：	PUNCT
發汗藥	VERB
。	PUNCT


	SPACE
從此	ADV
翻臉	VERB
不理	VERB
我	PRON
，	PUNCT
