***	PUNCT
何以	ADV
今天	NOUN
也	ADV
睜	VERB
著怪	VERB
眼睛	NOUN
，	PUNCT
似乎	ADV
怕	VERB
我	PRON
，	PUNCT
似乎	ADV
想害	VERB
我	PRON
。	PUNCT
這真	ADV
教	VERB
我	PRON
怕	VERB
，	PUNCT
教	VERB
我	PRON
納罕	VERB
而且	CCONJ
傷心	VERB
。	PUNCT

　　	SPACE
我	PRON
明白	VERB
了	PART
。	PUNCT
這	PRON
是	VERB
他	PRON
們娘	NOUN
老子	NOUN
教	VERB
的	PART
！	PUNCT

　　	SPACE
三	NUM

　　	SPACE
晚上	NOUN
總	ADV
是	VERB
睡	VERB
不	ADV
著	VERB
。	PUNCT
凡事	NOUN
須	VERB
得	VERB
研究	VERB
，	PUNCT
纔會	ADV
明白	VERB
。	PUNCT

　　	SPACE
他們	NOUN
——	PUNCT
也	ADV
有	VERB
給知	VERB
縣打	NOUN
枷過	NOUN
的	PART
，	PUNCT
也	ADV
有	VERB
給	VERB
紳士	NOUN
掌過嘴	VERB
的	PART
，	PUNCT
也	ADV
有	VERB
衙役	NOUN
佔	VERB
了	PART
他	PRON
妻子	NOUN
的	PART
，	PUNCT
也	ADV
有	VERB
老子	NOUN
娘	NOUN
被	X
債主	NOUN
逼死	VERB
的	PART
；	PUNCT
他們	PRON
那	DET
時候	NOUN
的	PART
臉色	NOUN
，	PUNCT
全	ADV
沒有	ADV
昨天	NOUN
這麼	PRON
怕	VERB
，	PUNCT
也	ADV
沒有	VERB
這	PRON
麼凶	PRON
。	PUNCT

　　	SPACE
最	ADV
奇怪	VERB
的	PART
是	VERB
昨天	NOUN
街上	NOUN
的	PART
那	DET
個	NUM
女人	NOUN
，	PUNCT
打	VERB
他	PRON
兒子	NOUN
，	PUNCT
嘴裡	NOUN
說道	VERB
，	PUNCT
『	PUNCT
老子	NOUN
呀	PART
！	PUNCT
我	PRON
要	VERB
咬	VERB
你	PRON
幾口	ADV
纔出	ADV
氣	NOUN
！	PUNCT
』	PUNCT
他	PRON
眼睛	NOUN
卻	ADV
看	VERB
著	PART
我	PRON
。	PUNCT
我	PRON
出	VERB
了	PART
一	ADV
驚	NOUN
，	PUNCT
遮掩	VERB
不住	ADV
；	PUNCT
那	DET
青面獠牙	VERB
的	PART
一	NUM
伙	NUM
人	NOUN
，	PUNCT
便	ADV
都	ADV
哄笑	VERB
起來	VERB
。	PUNCT
陳老	PROPN
五趕	NOUN
上前	VERB
，	PUNCT
硬	ADV
把	X
我	PRON
拖回	VERB
家中	NOUN
了	PART
。	PUNCT

　　	SPACE
拖	VERB
我	PRON
回家	VERB
，	PUNCT
家裡	NOUN
的	PART
人	NOUN
都	ADV
裝作	VERB
不	ADV
認識	VERB
我	PRON
；	PUNCT
他們	PRON
的	PART
臉色	NOUN
，	PUNCT
也	ADV
全	ADV
同	ADP
別人一樣	VERB
。	PUNCT
進	VERB
了	PART
書房	NOUN
，	PUNCT
便	ADV
反扣	ADV
上門	VERB
，	PUNCT
宛然	ADV
是	VERB
關	VERB
了	PART
一	NUM
只	NUM
雞鴨	NOUN
。	PUNCT
這	DET
一	NUM
件	NUM
事	NOUN
，	PUNCT
越	ADV
教	VERB
我	PRON
猜	VERB
不	ADV
出	VERB
底細	NOUN
。	PUNCT

　　	SPACE
前	DET
幾天	NOUN
，	PUNCT
狼子村	PROPN
的	PART
佃戶	NOUN
來告荒	VERB
，	PUNCT
對	ADP
我	PRON
大哥說	NOUN
，	PUNCT
他們	PRON
村裡	NOUN
的	PART
一	NUM
個	NUM
大惡人	NOUN
，	PUNCT
給	ADP
大家	PRON
打死	VERB
了	PART
；	PUNCT
幾個人	NOUN
便	ADV
挖出	VERB
他	PRON
的	PART
心肝來	NOUN
，	PUNCT
用	ADP
油煎	NOUN
炒	VERB
了	PART
吃	VERB
，	PUNCT
可以	VERB
壯壯	VERB
膽子	NOUN
。	PUNCT
我	PRON
插	VERB
了	PART
一	NUM
句	NUM
嘴	NOUN
，	PUNCT
佃戶	NOUN
和	CCONJ
大哥便	NOUN
都	ADV
看	VERB
我	PRON
幾眼	NUM
。	PUNCT
今天	NOUN
纔曉	VERB
得	VERB
他們	PRON
的	PART
眼光	NOUN
，	PUNCT
全	ADV
同	ADP
外面	NOUN
的	PART
那	DET
伙	NUM
人	NOUN
一模一樣	VERB
。	PUNCT

　　	SPACE
想起	VERB
來	VERB
，	PUNCT
我	PRON
從頂	ADV
上	ADV
直冷	ADV
到	VERB
腳跟	NOUN
。	PUNCT

　　	SPACE
他	PRON
們會	ADV
吃	VERB
人	NOUN
，	PUNCT
就	ADV
未必	ADV
不	ADV
會	VERB
吃	VERB
我	PRON
。	PUNCT

　　	SPACE
你	PRON
看	VERB
那	DET
女人	NOUN
『	PUNCT
咬	VERB
你	PRON
幾口	NUM
』	PUNCT
的	PART
話	NOUN
，	PUNCT
和	CCONJ
一	NUM
伙	NUM
青面	NOUN
獠牙人	VERB
的	PART
笑	NOUN
，	PUNCT
和	CCONJ
前天	NOUN
佃戶	PROPN
的	PART
話	NOUN
，	PUNCT
明明	ADV
是	VERB
暗號	NOUN
。	PUNCT
我	PRON
看出	VERB
他	PRON
話	NOUN
中	PART
全	ADV
是	VERB
毒	NOUN
，	PUNCT
笑	NOUN
中	PART
全	ADV
是	VERB
刀	NOUN
。	PUNCT
他們	PRON
的	PART
牙齒	NOUN
，	PUNCT
全	ADV
是	VERB
白厲厲	NOUN
的	PART
排著	NOUN
，	PUNCT
這	PRON
就是	ADV
吃人	VERB
的	PART
家伙	NOUN
。	PUNCT

　　	SPACE
照	ADP
我	PRON
自己	PRON
想	VERB
，	PUNCT
雖然	SCONJ
不是	VERB
惡人	NOUN
，	PUNCT
自從	ADV
踹	VERB
了	PART
古家	NOUN
的	PART
簿子	NOUN
，	PUNCT
可	ADV
就	ADV
難說	VERB
了	PART
。	PUNCT
他們	PRON
似乎	ADV
別	ADV
有	VERB
心思	NOUN
，	PUNCT
我	PRON
全	ADV
猜	VERB
不	ADV
出	VERB
。	PUNCT
況且	ADV
他們	PRON
一	ADV
翻臉	VERB
，	PUNCT
便	ADV
說人	VERB
是	VERB
惡人	NOUN
。	PUNCT
我	PRON
還記	ADV
得	VERB
大哥教	NOUN
我	PRON
做	VERB
論	NOUN
，	PUNCT
無論	ADV
怎樣	ADV
好人	NOUN
，	PUNCT
翻	VERB
他	PRON
幾	NUM
句	NUM
，	PUNCT
他	PRON
便	ADV
打上	VERB
幾個圈	NOUN
；	PUNCT
原諒	NOUN
壞人	NOUN
幾	NUM
句	NUM
，	PUNCT
他	PRON
便	ADV
說	VERB
『	PUNCT
翻天妙手	VERB
，	PUNCT
與眾	ADV
不同	VERB
』	PUNCT
。	PUNCT
我	PRON
那	PRON
裡猜	NOUN
得到	VERB
他們	PRON
的	PART
心思	NOUN
，	PUNCT
究竟	ADV
怎樣	VERB
；	PUNCT
況且	ADV
是	VERB
要	VERB
吃	VERB
的	PART
時候	NOUN
。	PUNCT

　　	SPACE
凡事	ADV
總須	ADV
研究	VERB
，	PUNCT
纔會	ADV
明白	VERB
。	PUNCT
古來	NOUN
時常	ADV
吃	VERB
人	NOUN
，	PUNCT
我	PRON
也	ADV
還記	ADV
得	VERB
，	PUNCT
可是	ADV
不	ADV
甚	ADV
清楚	VERB
。	PUNCT
我	PRON
翻開	VERB
歷史	NOUN
一	ADV
查	VERB
，	PUNCT
這歷史	NOUN
沒有	VERB
年代	NOUN
，	PUNCT
歪歪斜斜	VERB
的	PART
每	DET
葉	NOUN
上都	PART
寫	VERB
著	PART
『	PUNCT
仁義	NOUN
道德	NOUN
』	PUNCT
幾	NUM
個字	NOUN
。	PUNCT
我	PRON
橫豎	ADV
睡	VERB
不	ADV
著	VERB
，	PUNCT
仔細	ADV
看	VERB
了	PART
半夜	NOUN
，	PUNCT
纔	ADV
從字	ADP
縫裡	NOUN
看出	VERB
字來	NOUN
，	PUNCT
滿本	ADV
都	ADV
寫	VERB
著兩	VERB
個字	NOUN
是	VERB
『	PUNCT
吃	VERB
人	NOUN
』	PUNCT
！	PUNCT

　　	SPACE
書上	NOUN
寫著	VERB
這許	ADV
多	NUM
字	NOUN
，	PUNCT
佃戶	NOUN
說	VERB
了	PART
這許	ADV
多	NUM
話	NOUN
，	PUNCT
卻	ADV
都	ADV
笑吟吟	VERB
的	PART
睜著	VERB
怪眼	VERB
看	VERB
我	PRON
。	PUNCT

　　	SPACE
我	PRON
也	ADV
是	VERB
人	NOUN
，	PUNCT
他們	PRON
想	VERB
要	VERB
吃	VERB
我	PRON
了	PART
！	PUNCT

　　	SPACE
四	NOUN

　　	SPACE
早上	NOUN
，	PUNCT
我	PRON
靜坐	VERB
了	PART
一	NUM
會	NUM
兒	PRON
。	PUNCT
陳	PROPN
老五	NOUN
送進	VERB
飯來	NOUN
，	PUNCT
一	NUM
碗	NUM
菜	NOUN
，	PUNCT
一	NUM
碗	NUM
蒸魚	NOUN
；	PUNCT
這魚	PRON
的	PART
眼睛	NOUN
，	PUNCT
白	VERB
而且	ADV
硬	VERB
，	PUNCT
張著嘴	PROPN
，	PUNCT
同	ADP
那	DET
一	NUM
伙	NUM
想	VERB
吃	VERB
人	NOUN
的	PART
人	NOUN
一	VERB
樣	VERB
。	PUNCT
吃	VERB
了	PART
幾筷	NUM
，	PUNCT
滑溜溜	VERB
的	PART
不知	VERB
是	VERB
魚	NOUN
是	VERB
人	NOUN
，	PUNCT
便	ADV
把	X
他	PRON
兜肚	VERB
連腸	ADV
的	PART
吐出	VERB
。	PUNCT

　　	SPACE
我	PRON
說	VERB
『	PUNCT
老五	NOUN
，	PUNCT
對	ADP
大哥說	NOUN
，	PUNCT
我	PRON
悶	VERB
得	PART
慌	VERB
，	PUNCT
想到	VERB
園裡	NOUN
走走	VERB
。	PUNCT
』	PUNCT
老五	NOUN
不	ADV
答應	VERB
，	PUNCT
走	VERB
了	PART
；	PUNCT
停	VERB
一	NUM
會	NUM
，	PUNCT
可	ADV
就	ADV
來開	VERB
了	PART
門	NOUN
。	PUNCT

　　	SPACE
我	PRON
也	ADV
不	ADV
動	VERB
，	PUNCT
研究	VERB
他們	PRON
如何	ADV
擺布	VERB
我	PRON
；	PUNCT
知道	VERB
他們	PRON
一定	ADV
不	ADV
肯	VERB
放松	VERB
。	PUNCT
果然	ADV
！	PUNCT
我	PRON
大哥引	VERB
了	PART
一	NUM
個	NUM
老	ADJ
頭子	NOUN
，	PUNCT
慢慢	ADV
走來	VERB
；	PUNCT
他	PRON
滿眼	ADV
凶光	VERB
，	PUNCT
怕	VERB
我	PRON
看出	VERB
，	PUNCT
只是	ADV
低頭	VERB
向	ADP
著地	VERB
，	PUNCT
從眼鏡	ADV
橫邊	VERB
暗暗	ADV
看	VERB
我	PRON
。	PUNCT
大哥說	NOUN
，	PUNCT
『	PUNCT
今天	NOUN
你	PRON
仿佛	ADV
很	ADV
好	VERB
。	PUNCT
』	PUNCT
我	PRON
說	VERB
『	PUNCT
是的	VERB
。	PUNCT
』	PUNCT
大哥說	NOUN
，	PUNCT
『	PUNCT
今天	NOUN
請何	VERB
先生	NOUN
來	VERB
，	PUNCT
給	ADP
你	PRON
診	VERB
一	NUM
診	NUM
。	PUNCT
』	PUNCT
我	PRON
說	VERB
『	PUNCT
可以	VERB
！	PUNCT
』	PUNCT
其實	ADV
我	PRON
豈	ADV
不	ADV
知道	VERB
這	DET
老	ADJ
頭子	NOUN
是	VERB
劊子	NOUN
手扮	NOUN
的	PART
！	PUNCT
無	ADV
非	ADV
借	VERB
了	PART
看	VERB
脈這	NOUN
名目	NOUN
，	PUNCT
揣	VERB
一	NUM
揣	NUM
肥瘠	NOUN
：	PUNCT
因	ADP
這	DET
功勞	NOUN
，	PUNCT
也	ADV
分	VERB
一	NUM
片	NUM
肉吃	NOUN
。	PUNCT
我	PRON
也	ADV
不怕	VERB
；	PUNCT
雖然	SCONJ
不	ADV
吃	VERB
人	NOUN
，	PUNCT
膽子	NOUN
卻	ADV
比	ADP
他們	PRON
還壯	VERB
。	PUNCT
伸出	VERB
兩個	NUM
拳頭	NOUN
，	PUNCT
看	VERB
他	PRON
如何	ADV
下手	VERB
。	PUNCT
老	ADJ
頭子	NOUN
坐著	VERB
，	PUNCT
閉	VERB
了	PART
眼睛	NOUN
，	PUNCT
摸	VERB
了	PART
好	ADJ
一	NUM
會	NUM
，	PUNCT
呆	VERB
了	PART
好	ADJ
一	NUM
會	NUM
；	PUNCT
便	ADV
張開	VERB
他	PRON
鬼	ADJ
眼睛	NOUN
說	VERB
，	PUNCT
『	PUNCT
不要	ADV
亂想	VERB
。	PUNCT
靜靜	VERB
的	PART
養幾天	NOUN
，	PUNCT
就	ADV
好	VERB
了	PART
。	PUNCT
』	PUNCT

　　	SPACE
不要	ADV
亂想	VERB
，	PUNCT
靜靜	VERB
的	PART
養	VERB
！	PUNCT
養肥	VERB
了	PART
，	PUNCT
他們	PRON
是	VERB
自然	ADV
可以	VERB
多	ADV
吃	VERB
；	PUNCT
我	PRON
有	VERB
什麼	DET
好處	NOUN
，	PUNCT
怎麼	ADV
會	VERB
『	PUNCT
好	VERB
了	PART
』	PUNCT
？	PUNCT
他	PRON
們這群人	VERB
，	PUNCT
又	ADV
想	VERB
吃	VERB
人	NOUN
，	PUNCT
又	ADV
是	VERB
鬼鬼祟祟	VERB
，	PUNCT
想	VERB
法子	NOUN
遮掩	VERB
，	PUNCT
不	ADV
敢	VERB
直截	ADV
下手	VERB
，	PUNCT
真	ADV
要	VERB
令	VERB
我	PRON
笑死	VERB
。	PUNCT
我	PRON
忍	VERB
不住	ADV
，	PUNCT
便	ADV
放聲	VERB
大笑	NOUN
起來	VERB
，	PUNCT
十分	ADV
快活	VERB
。	PUNCT
自己	PRON
曉	VERB
得	PART
這	DET
笑聲	NOUN
裡面	NOUN
，	PUNCT
有的是	DET
義勇	NOUN
和	CCONJ
正氣	NOUN
。	PUNCT
老	ADJ
頭子	NOUN
和	CCONJ
大哥	NOUN
，	PUNCT
都	ADV
失	VERB
了色	NOUN
，	PUNCT
被	X
我	PRON
這勇	DET
氣正	NOUN
氣鎮	NOUN
壓住	VERB
了	PART
。	PUNCT

　　	SPACE
但是	ADV
我	PRON
有	VERB
勇氣	NOUN
，	PUNCT
他	PRON
們便	ADV
越	ADV
想	VERB
吃	VERB
我	PRON
，	PUNCT
沾光	VERB
一	NUM
點這	NUM
勇氣	NOUN
。	PUNCT
老	ADJ
頭子	NOUN
跨出門	VERB
，	PUNCT
走	VERB
不	ADV
多	ADV
遠	VERB
，	PUNCT
便	ADV
低	ADV
聲對	VERB
大哥	NOUN
說道	VERB
，	PUNCT
『	PUNCT
趕緊	ADV
吃	VERB
罷	PART
！	PUNCT
』	PUNCT
大哥點	NOUN
點頭	VERB
。	PUNCT
原來	ADV
也	ADV
有	VERB
你	PRON
！	PUNCT
這	DET
一	NUM
件	NUM
大	ADJ
發見	NOUN
，	PUNCT
雖似	SCONJ
意外	NOUN
，	PUNCT
也	ADV
在	ADV
意中	NOUN
：	PUNCT
合伙	VERB
吃	VERB
我	PRON
的	PART
人	NOUN
，	PUNCT
便	ADV
是	VERB
我	PRON
的	PART
哥哥	NOUN
！	PUNCT

　　	SPACE
吃人	VERB
的	PART
是	VERB
我	PRON
哥哥	NOUN
！	PUNCT

　　	SPACE
我	PRON
是	VERB
吃	VERB
人	NOUN
的	PART
人	NOUN
的	PART
兄弟	NOUN
！	PUNCT

　　	SPACE
我	PRON
自己	PRON
被	X
人	NOUN
吃	VERB
了	PART
，	PUNCT
可	ADV
仍然	ADV
是	VERB
吃人	VERB
的	PART
人	NOUN
的	PART
兄弟	NOUN
！	PUNCT

	SPACE
五	NUM

　　	SPACE
這幾天	ADV
是	VERB
退一步	ADV
想	VERB
：	PUNCT
假使	SCONJ
那	DET
老	ADJ
頭子	NOUN
不是	ADV
劊子	NOUN
手扮	NOUN
的	PART
，	PUNCT
真是	ADV
醫生	NOUN
，	PUNCT
也	ADV
仍然	ADV
是	VERB
吃人	VERB
的	PART
人	NOUN
。	PUNCT
他們	NOUN
的	PART
祖師	NOUN
李時珍	PROPN
做	VERB
的	PART
『	PUNCT
本草	NOUN
什麼	PRON
』	PUNCT
	NOUN
上	PART
，	PUNCT
明明	ADV
寫著人	NOUN
肉	NOUN
可以	VERB
煎吃	VERB
；	PUNCT
他	PRON
還	ADV
能	VERB
說	VERB
自己	PRON
不	ADV
吃	VERB
人	NOUN
麼	PART
？	PUNCT

　　	SPACE
至於	ADV
我家	PRON
大哥	NOUN
，	PUNCT
也	ADV
毫不	ADV
冤枉	VERB
他	PRON
。	PUNCT
他	PRON
對	ADP
我	PRON
講書	VERB
的	PART
時候	NOUN
，	PUNCT
親口	ADV
說過	VERB
可以	VERB
『	PUNCT
易子而食	VERB
』	PUNCT
	PUNCT
；	PUNCT
又	ADV
一	NUM
回	NUM
偶然	ADV
議論	VERB
起	VERB
一	NUM
個	NUM
不	ADV
好的	VERB
人	NOUN
，	PUNCT
他	PRON
便說	ADV
不但	ADV
該殺	VERB
，	PUNCT
還當	ADV
『	PUNCT
食肉	VERB
寢皮	VERB
』	PUNCT
。	PUNCT
我	PRON
那	DET
時年	NOUN
紀還	NOUN
小	VERB
，	PUNCT
心跳	VERB
了	PART
好半天	ADV
。	PUNCT
前天	NOUN
狼子村	PROPN
佃戶	VERB
來說	VERB
吃	VERB
心肝	NOUN
的	PART
事	NOUN
，	PUNCT
他	PRON
也	ADV
毫不	ADV
奇怪	VERB
，	PUNCT
不住	VERB
的	PART
點頭	VERB
。	PUNCT
可見	ADV
心思	NOUN
是	VERB
同從	NOUN
前	PART
一	VERB
樣狠	VERB
。	PUNCT
既然	SCONJ
可以	VERB
『	PUNCT
易子而食	VERB
』	PUNCT
，	PUNCT
便	ADV
什麼	PRON
都	ADV
易	VERB
得	VERB
，	PUNCT
什麼人	PRON
都	ADV
吃	VERB
得	VERB
。	PUNCT
我	PRON
從前	ADV
單聽	VERB
他	PRON
講	VERB
道理	NOUN
，	PUNCT
也	ADV
胡涂過去	VERB
；	PUNCT
現	NOUN
在	NOUN
曉得	VERB
他	PRON
講	VERB
道理	NOUN
的	PART
時候	NOUN
，	PUNCT
不但	ADV
脣邊	NOUN
還	ADV
抹著	VERB
人油	NOUN
，	PUNCT
而且	ADV
心裡	NOUN
滿	ADV
裝著	VERB
吃	VERB
人	NOUN
的	PART
意思	NOUN
。	PUNCT

　　	SPACE
六	NUM

　　	SPACE
黑漆漆	VERB
的	PART
，	PUNCT
不知	VERB
是	VERB
日是夜	VERB
。	PUNCT
趙家	PROPN
的	PART
狗	NOUN
又	ADV
叫	VERB
起來	VERB
了	PART
。	PUNCT

　　	SPACE
獅子	NOUN
似的	ADV
凶心	VERB
，	PUNCT
兔子	NOUN
的	PART
怯弱	NOUN
，	PUNCT
狐狸	ADJ
的	PART
狡猾	NOUN
，	PUNCT
……	PUNCT

　　	SPACE
七	NUM

　　	SPACE
我	PRON
曉	VERB
得	VERB
他們	PRON
的	PART
方法	NOUN
，	PUNCT
直捷	ADV
殺	VERB
了	PART
，	PUNCT
是	VERB
不	ADV
肯	VERB
的	PART
，	PUNCT
而且	ADV
也	ADV
不	ADV
敢	VERB
，	PUNCT
怕	VERB
有	VERB
禍祟	NOUN
。	PUNCT
所以	ADV
他們	PRON
大家	PRON
連絡	ADV
，	PUNCT
布滿	VERB
了	PART
羅網	PROPN
，	PUNCT
逼	VERB
我	PRON
自戕	VERB
。	PUNCT
試看	VERB
前	DET
幾天街	NOUN
上	PART
男女	NOUN
的	PART
樣子	NOUN
，	PUNCT
和	CCONJ
這幾天	ADV
我	PRON
大哥	NOUN
的	PART
作為	NOUN
，	PUNCT
便	ADV
足	ADV
可	VERB
悟出	VERB
八九	NUM
分	NUM
了	PART
。	PUNCT
最好	ADV
是	VERB
解下	VERB
腰帶	NOUN
，	PUNCT
掛	VERB
在	ADP
梁上	NOUN
，	PUNCT
自己	PRON
緊緊	ADV
勒死	VERB
；	PUNCT
他	PRON
們沒	PRON
有	VERB
殺人	VERB
的	PART
罪名	NOUN
，	PUNCT
又	ADV
償	VERB
了	PART
心願	NOUN
，	PUNCT
自然	ADV
都	ADV
歡天喜地	VERB
的	PART
發出	VERB
一	NUM
種	NUM
嗚嗚	VERB
咽咽	VERB
的	PART
笑聲	NOUN
。	PUNCT
否則	ADV
驚嚇	VERB
懮愁	PUNCT
死	VERB
了	PART
，	PUNCT
雖則	SCONJ
略瘦	VERB
，	PUNCT
也	ADV
還	ADV
可以	VERB
首肯	VERB
幾下	ADV
。	PUNCT

　　	SPACE
他	PRON
們是	PRON
只	ADV
會	VERB
吃	VERB
死肉	NOUN
的	PART
！	PUNCT
——	PUNCT
記	VERB
得	VERB
什麼書	NOUN
上說	NOUN
，	PUNCT
有	VERB
一	NUM
種	NUM
東西	NOUN
，	PUNCT
叫	VERB
『	PUNCT
海乙	NOUN
那	PRON
』	PUNCT
	PUNCT
的	PART
，	PUNCT
眼光	NOUN
和	CCONJ
樣子	NOUN
都	ADV
很	ADV
難看	VERB
；	PUNCT
時常	ADV
吃	VERB
