***	PUNCT
混﹐	PUNCT
也	ADV
顧	VERB
不得了	ADV
。	PUNCT



　　	SPACE
第二	NUM
﹐	PUNCT
立傳	NOUN
的	PART
通例	NOUN
﹐開	PUNCT
首	NOUN
大	ADJ
抵該	NOUN
是	VERB
“	PUNCT
某	DET
﹐	PUNCT
字	NOUN
某	PRON
﹐	PUNCT
某地	DET
人	NOUN
也	ADV
”	PUNCT
﹐	PUNCT
而	ADV
我	PRON
並	ADV
不	ADV
知道	VERB
阿Ｑ	PROPN
姓	VERB
什麼	PRON
。	PUNCT
有	VERB
一	NUM
回	NUM
﹐	PUNCT
他	PRON
似乎	ADV
是	VERB
姓	VERB
趙﹐	PUNCT
但	ADV
第二日	NUM
便	ADV
模糊	VERB
了	PART
。	PUNCT
那	PRON
是	VERB
趙	PROPN
太	NOUN
爺	NOUN
的	PART
兒子	NOUN
進	VERB
了	PART
秀才	NOUN
的	PART
時候	NOUN
﹐鑼	NOUN
聲	NOUN
鏜鏜	VERB
的	PART
報到	VERB
村裡	NOUN
來﹐	PUNCT
阿Ｑ正喝	PROPN
了	PART
兩碗	NOUN
黃酒	NOUN
﹐便	PUNCT
手舞足蹈	VERB
的	PART
說﹐	VERB
這於	ADV
他	PRON
也	ADV
很	ADV
光	VERB
采﹐	VERB
因	ADP
為	ADP
他	PRON
和	CCONJ
趙	PROPN
太	NOUN
爺	NOUN
原來	ADV
是	VERB
本家	PRON
﹐細細	ADV
的	PART
排起	VERB
來	VERB
他	PRON
還比秀	ADV
才	ADV
長	VERB
三	NUM
輩	NUM
呢	PART
。	PUNCT
其時	DET
幾個	NUM
旁聽人	NOUN
倒	ADV
也	ADV
肅然	VERB
的	PART
有些	ADV
起敬	VERB
了	PART
。	PUNCT
那	ADV
知道	VERB
第二	NUM
天	NUM
﹐	PUNCT
地	NOUN
保便	VERB
叫	VERB
阿Ｑ	PROPN
到趙	VERB
太	NOUN
爺	NOUN
家裡	NOUN
去	VERB
﹔	PUNCT
太	NOUN
爺	NOUN
一	ADV
見	VERB
﹐滿	PUNCT
臉濺	NOUN
朱﹐喝	PUNCT
道﹕	PUNCT
“	PUNCT
阿Ｑ﹐	PROPN
你	PRON
這渾	ADV
小子	NOUN
﹗	PUNCT
你	PRON
說	VERB
我	PRON
是	VERB
你	PRON
的	PART
本家	NOUN
麼﹖	PART
”	PUNCT


　　	SPACE
阿Ｑ不開口	PROPN
。	PUNCT


　　	SPACE
趙	PROPN
太	NOUN
爺愈	NOUN
看愈	VERB
生氣	VERB
了	PART
﹐搶	PUNCT
進	VERB
幾步	NUM
說﹕	VERB
“	PUNCT
你	PRON
敢	VERB
胡說﹗	VERB
我	PRON
怎麼	ADV
會有	VERB
你	PRON
這樣	PRON
的	PART
本家﹖	NOUN
你	PRON
姓	VERB
趙麼	PROPN
﹖	PUNCT
”	PUNCT


　　	SPACE
阿Ｑ不開口	PROPN
﹐	PUNCT
想	VERB
往	ADP
後	NOUN
退	VERB
了	PART
﹔趙	PUNCT
太	NOUN
爺	NOUN
跳過	VERB
去	VERB
﹐給	VERB
了	PART
他	PRON
一	NUM
個	NUM
嘴巴	NOUN
。	PUNCT


　　	SPACE
“	PUNCT
你	PRON
怎麼	ADV
會	VERB
姓	VERB
趙﹗	PUNCT
──	PUNCT
你	PRON
那	PRON
裡	PART
配	VERB
姓	VERB
趙﹗	PUNCT
”	PUNCT


　　	SPACE
阿Ｑ	PROPN
並沒	ADV
有	ADV
抗辯	VERB
他	PRON
確	ADV
鑿	ADV
姓	VERB
趙﹐	PROPN
只用	ADV
手摸	VERB
著左	VERB
頰﹐	PUNCT
和	ADV
地	PART
保退	VERB
出去	VERB
了	PART
﹔	PUNCT
外面	NOUN
又	ADV
被	X
地保	NOUN
訓斥	VERB
了	PART
一番	ADV
﹐謝	VERB
了	PART
地保	NOUN
二百	NUM
文	NOUN
酒錢	NOUN
。	PUNCT
知道	VERB
的	PART
人	NOUN
都	ADV
說阿	VERB
Ｑ	PUNCT
太	ADV
荒唐	VERB
﹐	PUNCT
自己	PRON
去	VERB
招	VERB
打﹔	VERB
他	PRON
大約	ADV
未必	ADV
姓	VERB
趙﹐	PUNCT
即使	SCONJ
真	ADV
姓	VERB
趙﹐	PUNCT
有	VERB
趙	PROPN
太	NOUN
爺	NOUN
在	VERB
這裡﹐	PRON
也	ADV
不	ADV
該	VERB
如此	ADV
胡說	VERB
的	PART
。	PUNCT
此	ADV
後便	ADV
再	ADV
沒有	VERB
人	NOUN
提起	VERB
他	PRON
的	PART
氏族	NOUN
來﹐	VERB
所以	ADV
我	PRON
終於	ADV
不	ADV
知道	VERB
阿Ｑ	PROPN
究竟	ADV
什麼	DET
姓	VERB
。	PUNCT


　　	SPACE
第三	NUM
﹐	PUNCT
我	PRON
又	ADV
不	ADV
知道	VERB
阿Ｑ	PROPN
的	PART
名字	NOUN
是	VERB
怎麼	ADV
寫	VERB
的	PART
。	PUNCT
他	PRON
活著	VERB
的	PART
時候	NOUN
﹐人	PUNCT
都	ADV
叫	VERB
他	PRON
阿Ｑｕｅｉ	PROPN
﹐死	PUNCT
了	PART
以	PART
後﹐	PUNCT
便沒	ADV
有	VERB
一	NUM
個	NUM
人	NOUN
再	ADV
叫	VERB
阿Ｑｕｅｉ	PROPN
了	PART
﹐	PUNCT
那	PRON
裡	NOUN
還會	ADV
有	VERB
〈	PUNCT
著	VERB
之	PART
竹	NOUN
帛	NOUN
〉	PUNCT
〔	PUNCT
１１	NUM
〕	PUNCT
的	PART
事	NOUN
。	PUNCT
若論	SCONJ
〈	PUNCT
著	VERB
之	PART
竹	NOUN
帛	NOUN
〉	PUNCT
﹐	PUNCT
這	DET
篇	NUM
文章	NOUN
要	VERB
算	VERB
第一	NUM
次	NUM
﹐所以	ADV
先	ADV
遇著	VERB
了	PART
這	DET
第一	NUM
個	NUM
難關	NOUN
。	PUNCT
我	PRON
□□	PROPN
□□	PROPN
□□	PROPN
□□	PROPN
□	PUNCT
阿Ｑｕｅｉ﹐	PROPN
阿桂還	PROPN
是	VERB
阿貴	NOUN
呢	PART
﹖倘	PUNCT
使	VERB
他	PRON
號	NOUN
叫	VERB
月	NOUN
亭﹐	PUNCT
或者	CCONJ
在	ADP
八月	NOUN
間做	VERB
過生	VERB
日﹐	NOUN
那	ADV
一定	ADV
是	VERB
阿桂	NOUN
了	PART
﹔	PUNCT
而	ADV
他	PRON
既	ADV
沒有	VERB
號	NOUN
──	PUNCT
也	ADV
許	ADV
有	VERB
號﹐	NOUN
只是	ADV
沒有	VERB
人	NOUN
知道	VERB
他	PRON
﹐	PUNCT
──	PUNCT
又	ADV
未	ADV
嘗	VERB
散過	VERB
生日	NOUN
征文	NOUN
的	PART
帖子	NOUN
﹕寫	VERB
作	VERB
阿桂﹐	NOUN
是	VERB
武斷	NOUN
的	PART
。	PUNCT
又	ADV
倘若	SCONJ
他	PRON
有	VERB
一	NUM
位	NUM
老兄	NOUN
或	CCONJ
令弟	NOUN
叫	VERB
阿富﹐	PROPN
那	ADV
一定	ADV
是	VERB
阿貴	NOUN
了	PART
﹔	PUNCT
而	ADV
他	PRON
又	ADV
只是	ADV
一個人	NOUN
﹕寫	VERB
作	VERB
阿貴﹐	NOUN
也	ADV
沒有	VERB
佐證	NOUN
的	PART
。	PUNCT
其	PRON
餘音	VERB
Ｑｕｅｉ	NOUN
的	PART
偏僻	ADJ
字	NOUN
樣﹐	NOUN
更	ADV
加湊	VERB
不	ADV
上	VERB
了	PART
。	PUNCT
先前	ADV
﹐	PUNCT
我	PRON
也	ADV
曾	ADV
問過	VERB
趙	PROPN
太	NOUN
爺	NOUN
的	PART
兒子	NOUN
茂才	PROPN
〔	PUNCT
１２	NUM
〕	PUNCT
先生	NOUN
﹐	PUNCT
誰料	ADV
博雅	VERB
如此	ADV
公﹐	VERB
竟	ADV
也	ADV
茫然	VERB
﹐但	PUNCT
據結	ADP
論	NOUN
說﹐	VERB
是	VERB
因	ADP
為陳	ADP
獨秀	ADV
辦	VERB
了	PART
《	PUNCT
新	ADJ
青年	NOUN
》	PUNCT
提倡洋	VERB
字〔	NOUN
１３	NUM
〕﹐	PUNCT
所以	ADV
國粹	NOUN
淪亡	VERB
﹐無	PUNCT
可	VERB
查攷	VERB
了	PART
。	PUNCT
我	PRON
的	PART
最後	ADJ
的	PART
手段	NOUN
﹐	PUNCT
只有	ADV
託	VERB
一	NUM
個	NUM
同鄉	NOUN
去	VERB
查	VERB
阿Ｑ犯事	PROPN
的	PART
案卷﹐	NOUN
八	NUM
個	NUM
月	NOUN
之後	PART
才	ADV
有	VERB
回信	NOUN
﹐說案	VERB
卷裡	NOUN
並無	VERB
與	ADP
阿Ｑｕｅｉ	PROPN
的	PART
聲音	NOUN
相近	VERB
的	PART
人	NOUN
。	PUNCT
我	PRON
雖	SCONJ
不	ADV
知道	VERB
是	VERB
真	ADV
沒有	VERB
﹐還	PUNCT
是	VERB
沒有	ADV
查﹐	PUNCT
然而	ADV
也	ADV
再	ADV
沒有	VERB
別	DET
的	PART
方法	NOUN
了	PART
。	PUNCT
生怕	ADV
注音	ADJ
字母	NOUN
還	ADV
未	ADV
通行﹐	VERB
只好	ADV
用	VERB
了	PART
〈	PUNCT
洋字	NOUN
〉	PUNCT
﹐照	PUNCT
英國	NOUN
流行	VERB
的	PART
拼法	NOUN
寫	VERB
他	PRON
為	VERB
阿Ｑｕｅｉ	NOUN
﹐略	PUNCT
作	VERB
阿Ｑ	NOUN
。	PUNCT
這近	ADV
於	ADP
盲從	NOUN
《	PUNCT
新	ADJ
青年	NOUN
》	PUNCT
﹐	PUNCT
自己	PRON
也	ADV
很	ADV
抱歉	VERB
﹐但	PUNCT
茂才	PROPN
公尚	NOUN
且	ADV
不	ADV
知﹐	VERB
我	PRON
還	ADV
有	VERB
什麼	DET
好	ADJ
辦法	NOUN
呢	PART
。	PUNCT


　　	SPACE
第四	NUM
﹐	PUNCT
是	VERB
阿Ｑ	PROPN
的	PART
籍貫	NOUN
了	PART
。	PUNCT
倘	SCONJ
他	PRON
姓	VERB
趙﹐	PROPN
則據	ADV
現	NOUN
在	ADP
好稱	PROPN
郡望	NOUN
的	PART
老	ADJ
例﹐	NOUN
可以	VERB
照	ADP
《	PUNCT
郡	NOUN
名百	NOUN
家	NOUN
姓	NOUN
》	PUNCT
〔	PUNCT
１４	NUM
〕	PUNCT
上	PART
的	PART
註解	NOUN
﹐說	VERB
是	VERB
“	PUNCT
隴西	PROPN
天水人	NOUN
也	PART
”	PUNCT
﹐但	ADV
可惜	VERB
這	DET
姓	NOUN
是	VERB
不	ADV
甚	ADV
可靠	VERB
的	PART
﹐	PUNCT
因此	ADV
籍貫	NOUN
也	ADV
就	ADV
有些	VERB
決不定	NOUN
。	PUNCT
他	PRON
雖然	SCONJ
多	ADV
住	VERB
未	ADV
莊﹐	NOUN
然而	ADV
也	ADV
常常	ADV
宿	VERB
在	ADP
別處	NOUN
﹐	PUNCT
不	ADV
能	VERB
說	VERB
是	VERB
未莊人	NOUN
﹐	PUNCT
即使	SCONJ
說	VERB
是	VERB
“	PUNCT
未莊人	NOUN
也	ADV
”	PUNCT
﹐	PUNCT
也	ADV
仍然	ADV
有	VERB
乖史法	NOUN
的	PART
。	PUNCT


　　	SPACE
我	PRON
所	PART
聊以自慰	VERB
的	PART
﹐	PUNCT
是	VERB
還	ADV
有	VERB
一	NUM
個	NUM
〈	PUNCT
阿〉字	NOUN
非常	ADV
正	VERB
確﹐	VERB
絕無	ADV
附會	VERB
假借	VERB
的	PART
缺點	NOUN
﹐頗	ADV
可以	VERB
就	ADV
正於	ADV
通人	VERB
。	PUNCT
至於	ADV
其	DET
餘﹐卻	PUNCT
都	ADV
非淺學	ADV
所	PART
能	VERB
穿	VERB
鑿﹐	VERB
只	ADV
希望	VERB
有	VERB
〈	PUNCT
歷史	NOUN
癖與	NOUN
考	NOUN
據癖	NOUN
〉	PUNCT
的	PART
胡適	PROPN
之	PART
〔	PUNCT
１５	NUM
〕	PUNCT
先生	NOUN
的	PART
門人	NOUN
們﹐	PUNCT
將來	ADV
或者	CCONJ
能	VERB
夠尋	VERB
出許	VERB
多	NUM
新	ADJ
端緒	VERB
來﹐	PUNCT
但是	ADV
我	PRON
這	DET
《	PUNCT
阿Ｑ	PROPN
正傳	NOUN
》	PUNCT
到	ADP
那	NOUN
時	NOUN
卻	ADV
又	ADV
怕	VERB
早經	ADV
消滅	VERB
了	PART
。	PUNCT


　　	SPACE
以上	PRON
可以	VERB
算是	VERB
序	NOUN
。	PUNCT


　　	SPACE
第二	NUM
章	NUM
　	SPACE
優	ADJ
　	SPACE
勝	NOUN
　	SPACE
記	NOUN
　	SPACE
略	NOUN


　　	SPACE
阿Ｑ不獨	PROPN
是	VERB
姓	NOUN
名籍	NOUN
貫	VERB
有些	ADV
渺茫	VERB
﹐連	PUNCT
他	PRON
先前	NOUN
的	PART
〈	PUNCT
行狀	NOUN
〉	PUNCT
〔	PUNCT
１６	NUM
〕	PUNCT
也	ADV
渺茫	VERB
。	PUNCT
因為	ADV
未	ADV
莊	VERB
的	PART
人	NOUN
們	PRON
之	PART
於	ADP
阿Ｑ﹐	PROPN
只要	SCONJ
他	PRON
幫忙	VERB
﹐	PUNCT
只	ADV
拿	VERB
他	PRON
玩笑	VERB
﹐從	PUNCT
來沒	ADV
有	VERB
留心	VERB
他	PRON
的	PART
〈	PUNCT
行狀	NOUN
〉	PUNCT
的	PART
。	PUNCT
而	ADV
阿Ｑ	PROPN
自己	PRON
也	ADV
不	ADV
說﹐	VERB
獨有	ADV
和	ADP
別	DET
人口	VERB
角	VERB
的	PART
時候	NOUN
﹐間	ADV
或	CCONJ
瞪著	VERB
眼睛	NOUN
道﹕	PUNCT
“	PUNCT
我	PRON
們	PRON
先前	ADV
──	PUNCT
比	ADP
你	PRON
闊	VERB
的	PART
多	VERB
啦	PART
﹗	PUNCT
你	PRON
算是	VERB
什麼	DET
東西﹗	NOUN
”	PUNCT
阿Ｑ沒	PROPN
有	VERB
家﹐	PUNCT
住在	VERB
未莊	NOUN
的	PART
土谷	NOUN
祠〔	NOUN
１７	NUM
〕裡	PUNCT
﹔	PUNCT
也	ADV
沒有	VERB
固定	ADJ
的	PART
職業	NOUN
﹐	PUNCT
只	ADV
給	ADP
人家	NOUN
做	VERB
短工	NOUN
﹐割	PUNCT
麥便	NOUN
割麥	VERB
﹐舂	PUNCT
米	NOUN
便	ADV
舂	VERB
米﹐	NOUN
撐	VERB
船便	NOUN
撐船	VERB
。	PUNCT
工作	NOUN
略	ADV
長久	VERB
時﹐	PART
他	PRON
也	ADV
或	CCONJ
住在	VERB
臨時	ADJ
主人	NOUN
的	PART
家裡	NOUN
﹐但	PUNCT
一	ADV
完	VERB
就	ADV
走	VERB
了	PART
。	PUNCT
所以	ADV
﹐人	NOUN
們	NOUN
忙碌	VERB
的	PART
時候	NOUN
﹐	PUNCT
也	ADV
還記	ADV
起	VERB
阿Ｑ來﹐	NOUN
然而	ADV
記起	VERB
的	PART
是	VERB
做工	VERB
﹐並	PUNCT
不是	ADV
〈	PUNCT
行狀	VERB
〉	PUNCT
﹔	PUNCT
一	NUM
閒	NOUN
空﹐	PUNCT
連阿	ADV
Ｑ	PROPN
都	ADV
早	ADV
忘	VERB
卻﹐	VERB
更	ADV
不	ADV
必說	VERB
〈	PUNCT
行狀	VERB
〉	PUNCT
了	PART
。	PUNCT
只是	ADV
有	VERB
一	NUM
回	NUM
﹐	PUNCT
有	VERB
一	NUM
個	NUM
老	ADJ
頭子	NOUN
頌揚	VERB
說﹕	VERB
“	PUNCT
阿Ｑ真能	NOUN
做﹗	VERB
”	PUNCT
這時	PRON
阿Ｑ	PROPN
赤著膊	VERB
﹐懶洋洋	ADJ
的	PART
瘦伶仃	NOUN
的	PART
正在	VERB
他	PRON
面前	NOUN
﹐別人	PUNCT
也	ADV
摸	VERB
不	ADV
著	VERB
這話	PRON
是	VERB
真	ADJ
心還	NOUN
是	VERB
譏笑	VERB
﹐然而阿Ｑ	ADV
很	ADV
喜歡	VERB
。	PUNCT


　　	SPACE
阿Ｑ	PROPN
又	ADV
很	ADV
自	ADV
尊﹐	PUNCT
所有	DET
未莊	NOUN
的	PART
居民	NOUN
﹐	PUNCT
全	ADV
不	ADV
在	VERB
他	PRON
眼睛	NOUN
裡﹐	PART
甚而	ADV
至	ADV
於對	ADV
於	ADP
兩位	NUM
〈	PUNCT
文童	NOUN
〉	PUNCT
〔	PUNCT
１８	NUM
〕	PUNCT
也	ADV
有	VERB
以	VERB
為	VERB
不值一笑	VERB
的	PART
神情	NOUN
。	PUNCT
夫文	NOUN
童者	NOUN
﹐將來	ADV
恐怕	ADV
要	VERB
變秀	VERB
才	ADV
者	NOUN
也	PART
﹔趙	PROPN
太	NOUN
爺錢	NOUN
太	NOUN
爺	NOUN
大	ADV
受	VERB
居民	NOUN
的	PART
尊敬	NOUN
﹐除	PUNCT
有錢	NOUN
之外	PART
﹐	PUNCT
就	ADV
因為	ADV
都	ADV
是	VERB
文童	PROPN
的	PART
爹爹﹐	NOUN
而	ADV
阿Ｑ	PROPN
在	ADP
精神	NOUN
上獨	NOUN
不	ADV
表	VERB
格外	ADJ
的	PART
崇奉	NOUN
﹐	PUNCT
他	PRON
想	VERB
﹕	PUNCT
我	PRON
的	PART
兒子	NOUN
會闊	VERB
得	PART
多	VERB
啦	PART
﹗	PUNCT
加以	VERB
進	VERB
了	PART
幾回	NUM
城﹐	NOUN
阿Ｑ	PROPN
自然	ADV
更	ADV
自負	VERB
﹐然	ADV
而	ADV
他	PRON
又	ADV
很	ADV
鄙薄	VERB
城裡	NOUN
人﹐	NOUN
譬如	ADV
用	ADP
三尺	NOUN
長	VERB
三	NUM
寸	NUM
寬	NOUN
的	PART
木板	NOUN
做成	VERB
的	PART
凳子	NOUN
﹐	PUNCT
未	ADV
莊	NOUN
叫	VERB
〈	PUNCT
長凳	PROPN
〉	PUNCT
﹐	PUNCT
他	PRON
也	ADV
叫	VERB
〈	PUNCT
長凳	PROPN
〉	PUNCT
﹐	PUNCT
城裡	NOUN
人卻	NOUN
叫	VERB
〈	PUNCT
條凳	PROPN
〉	PUNCT
﹐	PUNCT
他	PRON
想	VERB
﹕這	PUNCT
是	VERB
錯	VERB
的	PART
﹐可笑	VERB
﹗	PUNCT
油煎	NOUN
大頭	ADJ
魚	NOUN
﹐	PUNCT
未	ADV
莊	NOUN
都	ADV
加上	VERB
半寸	ADV
長	VERB
的	PART
蔥葉	NOUN
﹐城	NOUN
裡卻	NOUN
加上	VERB
切細	VERB
的	PART
蔥絲	NOUN
﹐	PUNCT
他	PRON
想	VERB
﹕這	PRON
也	ADV
是	VERB
錯	VERB
的	PART
﹐可笑	VERB
﹗然	ADV
而	ADV
未	ADV
莊	NOUN
人	NOUN
真是	ADV
不	ADV
見	VERB
世面	NOUN
的	PART
可笑	ADJ
的	PART
鄉下人	NOUN
呵﹐	PART
他	PRON
們沒	ADV
有	VERB
見過	VERB
城裡	NOUN
的	PART
煎魚	NOUN
﹗	PUNCT


　　	SPACE
阿Ｑ〈	PROPN
先前	NOUN
闊	NOUN
〉	PUNCT
﹐	PUNCT
見識	NOUN
高﹐	PUNCT
而且	CCONJ
〈	PUNCT
真	ADV
能	VERB
做	VERB
〉	PUNCT
﹐	PUNCT
本	ADV
來	ADV
幾乎	ADV
是	VERB
一	NUM
個	NUM
〈	PUNCT
完人	NOUN
〉	PUNCT
了	PART
﹐但	ADV
可惜	ADV
他	PRON
體質	NOUN
上還	PART
有	VERB
一些	NUM
缺點	NOUN
。	PUNCT
最	ADV
惱人	VERB
的	PART
是	VERB
在	ADP
他	PRON
頭皮	NOUN
上	PART
﹐頗	PUNCT
有	VERB
幾處	NUM
不知	VERB
起於	VERB
何時	PRON
的	PART
癩瘡疤	NOUN
。	PUNCT
這	PRON
雖然	SCONJ
也	ADV
在	VERB
他	PRON
身上	NOUN
﹐	PUNCT
而	PART
看	VERB
阿Ｑ	PROPN
的	PART
意思	NOUN
﹐	PUNCT
倒	ADV
也	ADV
似乎	ADV
以	VERB
為不足貴	VERB
的	PART
﹐因	PUNCT
為	ADP
他	PRON
諱說	VERB
〈	PUNCT
癩	PROPN
〉	PUNCT
以及	CCONJ
一切	DET
近於	NOUN
〈	PUNCT
賴	PROPN
〉	PUNCT
的	PART
音﹐	PUNCT
後來	ADV
推	VERB
而	PART
廣	VERB
之	PART
﹐	PUNCT
〈	PUNCT
光	NOUN
〉	PUNCT
也	ADV
諱﹐	VERB
〈	PUNCT
亮	PROPN
〉	PUNCT
也	ADV
諱﹐	VERB
再	ADV
後來	NOUN
﹐連	PUNCT
〈	PUNCT
燈	NOUN
〉	PUNCT
〈	PUNCT
燭	NOUN
〉	PUNCT
都	ADV
諱	VERB
了	PART
。	PUNCT
一	ADV
犯	VERB
諱﹐	PUNCT
不	ADV
問	VERB
有	VERB
心與	NOUN
無心	VERB
﹐阿	PROPN
Ｑ便	PROPN
全	DET
疤	NOUN
通紅	VERB
的	PART
發起	VERB
怒	NOUN
來﹐	PUNCT
估量	VERB
了	PART
對手	NOUN
